"","subj","RT","subj_mean_rt","normRT"
"2490","CCC01_18",1801,2112.69230769231,1349.97665454944
"2491","CCC01_18",2661,2112.69230769231,2209.97665454944
"2492","CCC01_18",3320,2112.69230769231,2868.97665454944
"2493","CCC01_18",2695,2112.69230769231,2243.97665454944
"2494","CCC01_18",2783,2112.69230769231,2331.97665454944
"2495","CCC01_18",3756,2112.69230769231,3304.97665454944
"2496","CCC01_18",1674,2112.69230769231,1222.97665454944
"2497","CCC01_18",2394,2112.69230769231,1942.97665454944
"2498","CCC01_18",2509,2112.69230769231,2057.97665454944
"2499","CCC01_18",3894,2112.69230769231,3442.97665454944
"2500","CCC01_18",1318,2112.69230769231,866.97665454944
"2501","CCC01_18",2828,2112.69230769231,2376.97665454944
"2502","CCC01_18",2320,2112.69230769231,1868.97665454944
"2503","CCC01_18",3543,2112.69230769231,3091.97665454944
"2504","CCC01_18",1365,2112.69230769231,913.97665454944
"2505","CCC01_18",1691,2112.69230769231,1239.97665454944
"2506","CCC01_18",3129,2112.69230769231,2677.97665454944
"2507","CCC01_18",2088,2112.69230769231,1636.97665454944
"2508","CCC01_18",2280,2112.69230769231,1828.97665454944
"2509","CCC01_18",2402,2112.69230769231,1950.97665454944
"2510","CCC01_18",2942,2112.69230769231,2490.97665454944
"2511","CCC01_18",2028,2112.69230769231,1576.97665454944
"2512","CCC01_18",1182,2112.69230769231,730.97665454944
"2513","CCC01_18",4554,2112.69230769231,4102.97665454944
"2514","CCC01_18",1897,2112.69230769231,1445.97665454944
"2515","CCC01_18",1928,2112.69230769231,1476.97665454944
"2516","CCC01_18",2239,2112.69230769231,1787.97665454944
"2517","CCC01_18",2585,2112.69230769231,2133.97665454944
"2518","CCC01_18",2692,2112.69230769231,2240.97665454944
"2519","CCC01_18",2134,2112.69230769231,1682.97665454944
"2520","CCC01_18",1444,2112.69230769231,992.97665454944
"2521","CCC01_18",2838,2112.69230769231,2386.97665454944
"2522","CCC01_18",2151,2112.69230769231,1699.97665454944
"2523","CCC01_18",2998,2112.69230769231,2546.97665454944
"2524","CCC01_18",1522,2112.69230769231,1070.97665454944
"2525","CCC01_18",2224,2112.69230769231,1772.97665454944
"2526","CCC01_18",2331,2112.69230769231,1879.97665454944
"2527","CCC01_18",1977,2112.69230769231,1525.97665454944
