subj,mean_RT,mean_Acc,num_TO,num_trials,repeated_arrow_1,repeated_arrow_2,repeated_arrow_3,repeated_arrow_4,repeated_arrow_5,repeated_arrow_6,repeated_arrow_7,repeated_arrow_8,repeated_arrow_9,repeated_arrow_10,repeated_no arrow_1,repeated_no arrow_2,repeated_no arrow_3,repeated_no arrow_4,repeated_no arrow_5,repeated_no arrow_6,repeated_no arrow_7,repeated_no arrow_8,repeated_no arrow_9,repeated_no arrow_10,random_arrow_1,random_arrow_2,random_arrow_3,random_arrow_4,random_arrow_5,random_arrow_6,random_arrow_7,random_arrow_8,random_arrow_9,random_arrow_10,random_no arrow_1,random_no arrow_2,random_no arrow_3,random_no arrow_4,random_no arrow_5,random_no arrow_6,random_no arrow_7,random_no arrow_8,random_no arrow_9,random_no arrow_10
11,1764.475375,0.996875,1,320,1429.8474999999999,889.40375,709.7285714285714,865.3925,1470.49375,1662.3600000000001,1186.202857142857,1035.755,1987.1125,1226.5714285714284,2249.671428571429,2146.45,1967.625,2020.7,2068.1125,1681.65625,1516.90875,1843.25,1259.35875,1285.317142857143,1665.595,1458.76,1254.46875,1565.145,1460.8442857142857,2098.0666666666666,1623.75375,1977.895,1693.1125,1482.8925,2333.9875,1965.1142857142856,1923.0257142857142,2116.4714285714285,1730.0285714285715,1737.175,1608.02,1769.26125,1703.74,1913.94
12,3104.28790625,0.940625,19,320,2434.3125,1857.4571428571428,2169.36625,2190.45,2285.6375,2940.05,3277.4875,1986.925,2539.425,1791.2375,3424.2714285714283,2977.15,2801.125,2579.7625,2627.1125,2919.4875,2606.45,3290.85,2119.5714285714284,2481.575,2619.2,2184.6714285714284,2394.875,2479.9,2496.514285714286,3290.6,3116.35,2834.0714285714284,2590.775,3243.4125,2871.025,3124.3142857142857,3220.625,3263.9166666666665,2089.614285714286,2648.5666666666666,2219.4,3108.0714285714284,2216.4,2998.3625
14,1887.099375,1,0,320,1781.2228571428573,1785.4725,1262.5162500000001,1543.4242857142858,1648.5125,1641.58125,2070.9,1653.1375,1470.59,1684.9371428571428,2568.985714285714,2018.85,1693.857142857143,1668.71,1509.22625,1421.7014285714286,1663.32625,1451.595,2231.325,1497.535,2381.20375,1919.8387500000001,1947.4637500000001,1337.6857142857143,1847.86,2494.65375,2179.7814285714285,1485.6028571428571,1851.3925,1894.79125,2431.3,1973.442857142857,1990.7428571428572,1690.51,1743.695,1835.5857142857142,2373.41875,1864.3825,1564.3,2041.625
15,2139.1730625,0.984375,5,320,1635.165,2005.3142857142857,1407.5,1237.4375,1080.44125,1923.3,2232.95,2048.8125,1995.8625,2204.542857142857,2261.52,2328.616666666667,2039.9428571428573,1969.557142857143,1852.025,1567.175,1557.8374999999999,1943.7875,1878.0875,1579.81875,2109.4,1786.14125,1771.3875,1422.96625,1344.44375,2186.8375,2149.94625,2029.925,1868.9125,1731.0375,2456.7,2318.8,2329.1375,2400.075,2625.385714285714,2307.6,2154.9166666666665,2288.4875,2176.025,2103.225
16,2175.19134375,0.975,8,320,1498.3875,1392.725,1823.845,1153.78,1146.2125,1587.8833333333332,1776.8428571428572,2288.8,1592.17,1893.3025,2442.55,2254.92,1855.75,2207.2,1883.7833333333333,1852.6000000000001,1605.4637500000001,1797.425,1585.22625,1644.065,1688.0857142857144,1595.99125,1502.15,1561.1875,1869.99,1943.10625,1982.7083333333333,2017.9885714285715,1769.3500000000001,1776.9875,2793.8142857142857,3329.5428571428574,2082.7000000000003,2310.0714285714284,2416.16,1926.1333333333334,2599.616666666667,2088.7125,2193.884285714286,1995.44
17,1867.8095,0.978125,7,320,1492.3666666666668,1411.1271428571429,1400.30375,1899.48,983.7628571428571,1824.375,1087.1757142857143,1526.39375,1496.025,1232.4414285714286,1777.4571428571428,1902.315,1558.6757142857143,1463.80375,1693.125,1284.1937500000001,1364.41125,1001.4328571428572,993.03,1257.37,2457.9375,1988.34,1785.00875,2106.1714285714284,1608.075,1374.3814285714286,1449.545,1201.34625,1177.42,1479.1825000000001,2398.90375,2048.0412499999998,1445.005,2092.785714285714,1961.9857142857143,1398.7242857142858,1651.0214285714285,1312.14875,1826.1833333333334,1753.255
18,1614.7468125,1,0,320,1725.1375,1438.7014285714286,916.405,1194.90625,965.6657142857142,1319.8075,1483.645,1217.31375,1208.5462499999999,1118.00125,2650.0375,2282.875,1929.8875,1517.52875,1318.71,1195.85625,1284.337142857143,1254.5071428571428,1561.20875,1363.615,1463.63625,1321.1200000000001,1079.18875,1338.5349999999999,781.80125,1624.76,1643.4414285714286,1278.6825,1518.547142857143,1738.5375,2962.9,2055.8,2093.6857142857143,2090.26375,1813.1185714285714,1574.52125,1536.425,1737.32875,1359.4783333333332,1480.47
19,2771.5471875,0.975,8,320,1634.6333333333332,1650.7716666666668,1867.6287499999999,1763.84125,1783.62625,2261.2,2609.975,2653.9714285714285,2278.025,1547.642857142857,3085.6,3101.8125,2896.45,2005.55,2269.35,2050.133333333333,2844.9,2302.0625,2144.0285714285715,1931.5666666666666,2070.65,2329.0625,2780.525,3100.2428571428572,2087.5,2548.942857142857,2320.5285714285715,2509.6625,2500.075,2500.05,2536.7833333333333,3264.9,3246.78,3169.65,3132.2166666666667,2569.657142857143,2678.6428571428573,2074.875,2169.0125,2183.9375
20,2110.7655,0.990625,3,320,2342.0125,1710.4625,1413.425,1452.775,1185.625,1641.39375,1405.105,1516.4175,1505.56,1694.665,3620.9,2534.866666666667,2686.875,2462.35,1696.85,2336.6,1557.785,1356.85,1820.0714285714287,1457.975,2444.35,1620.15,1840.8000000000002,1908.5625,1734.25,1797.7625,1939.40625,2123.0625,2007.39625,1572.46875,2821.625,2351.457142857143,2301.8285714285716,2363.2,1752.8714285714286,1696.6971428571428,1868.7471428571428,2065.3342857142857,1418.11125,1789.8625
21,2205.34034375,0.9875,4,320,2329.3999999999996,1628.34,1440.2037500000001,1012.76625,1054.86125,2305.614285714286,1716.95,1787.27125,1784.85,2133.81625,2010.55,1922.4442857142858,3178,2388.1285714285714,2502.9,2092.175,1690.22125,2126.5,2049.5,2019.9375,1811.9,2040.48,1965.875,1176.125,1402.47375,1857.7666666666667,1680.642857142857,2162.942857142857,2534.957142857143,2364.2428571428572,1626.4966666666667,1672.8500000000001,2885.82,2279.957142857143,2658.9,2220.6285714285714,1935.3875,1919.6457142857143,2073.9666666666667,1699.325
